Tube;TubeVide;MasseSeche
;Date 15.07.2022  Heure 13:27:13;Date 08.08.2022  Heure 13:25:00
88;N         :    +   1.3193 g;N         :    +   1.3318 g
;Date 15.07.2022  Heure 13:27:21;Date 08.08.2022  Heure 13:25:12
89;N         :    +   1.3308 g;N         :    +   1.3417 g
;Date 15.07.2022  Heure 13:27:30;Date 08.08.2022  Heure 13:25:23
90;N         :    +   1.3287 g;N         :    +   1.3403 g
;Date 15.07.2022  Heure 13:27:39;Date 08.08.2022  Heure 13:25:35
91;N         :    +   1.3225 g;N         :    +   1.3321 g
;Date 15.07.2022  Heure 13:27:46;Date 08.08.2022  Heure 13:25:46
92;N         :    +   1.3209 g;N         :    +   1.3292 g
;Date 15.07.2022  Heure 13:28:02;Date 08.08.2022  Heure 13:25:58
93;N         :    +   1.3209 g;N         :    +   1.3339 g
;Date 15.07.2022  Heure 13:28:25;Date 08.08.2022  Heure 13:26:10
94;N         :    +   1.3218 g;N         :    +   1.3311 g
;Date 15.07.2022  Heure 13:28:34;Date 08.08.2022  Heure 13:26:20
95;N         :    +   1.3193 g;N         :    +   1.3283 g
;Date 15.07.2022  Heure 13:28:44;Date 08.08.2022  Heure 13:26:32
96;N         :    +   1.3221 g;N         :    +   1.3428 g
;Date 15.07.2022  Heure 13:28:54;Date 08.08.2022  Heure 13:26:43
97;N         :    +   1.3174 g;N         :    +   1.3326 g
;Date 15.07.2022  Heure 13:29:03;Date 08.08.2022  Heure 13:26:55
98;N         :    +   1.3241 g;N         :    +   1.3377 g
;Date 15.07.2022  Heure 13:29:13;Date 08.08.2022  Heure 13:27:07
99;N         :    +   1.3142 g;N         :    +   1.3293 g
;Date 15.07.2022  Heure 13:29:22;Date 08.08.2022  Heure 13:27:19
100;N         :    +   1.3180 g;N         :    +   1.3314 g
;Date 15.07.2022  Heure 13:29:44;Date 08.08.2022  Heure 13:27:41
101;N         :    +   1.3237 g;N         :    +   1.3341 g
;Date 15.07.2022  Heure 13:29:55;Date 08.08.2022  Heure 13:27:52
102;N         :    +   1.3215 g;N         :    +   1.3348 g
;Date 15.07.2022  Heure 13:30:06;Date 08.08.2022  Heure 13:28:04
103;N         :    +   1.3265 g;N         :    +   1.3419 g
;Date 15.07.2022  Heure 13:30:19;Date 08.08.2022  Heure 13:28:15
104;N         :    +   1.3244 g;N         :    +   1.3328 g
;Date 15.07.2022  Heure 13:30:28;Date 08.08.2022  Heure 13:28:26
105;N         :    +   1.3238 g;N         :    +   1.3342 g
;Date 15.07.2022  Heure 13:30:38;Date 08.08.2022  Heure 13:28:39
106;N         :    +   1.3290 g;N         :    +   1.3396 g
;Date 15.07.2022  Heure 13:30:50;Date 08.08.2022  Heure 13:28:50
107;N         :    +   1.3237 g;N         :    +   1.3355 g
;Date 15.07.2022  Heure 13:31:01;Date 08.08.2022  Heure 13:29:05
108;N         :    +   1.3188 g;N         :    +   1.3300 g
;Date 15.07.2022  Heure 13:31:11;Date 08.08.2022  Heure 13:29:18
109;N         :    +   1.3268 g;N         :    +   1.3487 g
;Date 15.07.2022  Heure 13:31:20;Date 08.08.2022  Heure 13:29:29
110;N         :    +   1.3118 g;N         :    +   1.3373 g
;Date 15.07.2022  Heure 13:31:29;Date 08.08.2022  Heure 13:29:47
111;N         :    +   1.3171 g;N         :    +   1.3314 g
;Date 15.07.2022  Heure 13:31:38;Date 08.08.2022  Heure 13:30:00
112;N         :    +   1.3227 g;N         :    +   1.3461 g
;Date 15.07.2022  Heure 13:31:49;Date 08.08.2022  Heure 13:30:11
113;N         :    +   1.3241 g;N         :    +   1.3433 g
;Date 15.07.2022  Heure 13:32:00;Date 08.08.2022  Heure 13:30:25
114;N         :    +   1.3248 g;N         :    +   1.3666 g
;Date 15.07.2022  Heure 13:32:09;Date 08.08.2022  Heure 13:30:36
115;N         :    +   1.3214 g;N         :    +   1.3327 g
;Date 15.07.2022  Heure 13:32:22;Date 08.08.2022  Heure 13:30:47
116;N         :    +   1.3214 g;N         :    +   1.3622 g
;Date 15.07.2022  Heure 13:32:34;Date 08.08.2022  Heure 13:31:26
117;N         :    +   1.3186 g;N         :    +   1.3381 g
;Date 15.07.2022  Heure 13:32:44;Date 08.08.2022  Heure 13:31:42
118;N         :    +   1.3240 g;N         :    +   1.3570 g
;Date 15.07.2022  Heure 13:32:51;Date 08.08.2022  Heure 13:31:57
119;N         :    +   1.3187 g;N         :    +   1.3462 g
;Date 15.07.2022  Heure 13:33:04;Date 08.08.2022  Heure 13:32:14
120;N         :    +   1.3245 g;N         :    +   1.3386 g
;Date 15.07.2022  Heure 13:33:13;Date 08.08.2022  Heure 13:32:34
121;N         :    +   1.3276 g;N         :    +   1.3437 g
;Date 15.07.2022  Heure 13:33:24;Date 08.08.2022  Heure 13:32:46
122;N         :    +   1.3212 g;N         :    +   1.3325 g
;Date 15.07.2022  Heure 13:33:33;Date 08.08.2022  Heure 13:33:04
123;N         :    +   1.3188 g;N         :    +   1.3352 g
;Date 15.07.2022  Heure 13:33:41;
124;N         :    +   1.3242 g;
;Date 15.07.2022  Heure 13:33:49;Date 08.08.2022  Heure 13:33:25
125;N         :    +   1.3113 g;N         :    +   1.3427 g
;Date 15.07.2022  Heure 13:33:58;
126;N         :    +   1.3247 g;
;Date 15.07.2022  Heure 13:34:06;Date 08.08.2022  Heure 13:47:37
127;N         :    +   1.3230 g;N         :    +   1.3397 g
;Date 15.07.2022  Heure 13:34:15;
128;N         :    +   1.3279 g;
;Date 15.07.2022  Heure 13:34:27;Date 08.08.2022  Heure 13:48:55
129;N         :    +   1.3187 g;N         :    +   1.3477 g
;Date 15.07.2022  Heure 13:34:40;Date 08.08.2022  Heure 13:49:08
130;N         :    +   1.3258 g;N         :    +   1.3428 g
;Date 15.07.2022  Heure 13:34:56;Date 08.08.2022  Heure 13:49:31
131;N         :    +   1.3193 g;N         :    +   1.3548 g
;Date 15.07.2022  Heure 13:35:05;Date 08.08.2022  Heure 13:50:04
132;N         :    +   1.3206 g;N         :    +   1.3441 g
;Date 15.07.2022  Heure 13:35:14;Date 08.08.2022  Heure 13:50:25
133;N         :    +   1.3185 g;N         :    +   1.3496 g
;Date 15.07.2022  Heure 13:35:23;Date 08.08.2022  Heure 13:50:40
134;N         :    +   1.3207 g;N         :    +   1.3427 g
;Date 15.07.2022  Heure 13:35:32;Date 08.08.2022  Heure 13:52:56
135;N         :    +   1.3307 g;N         :    +   1.3476 g
;Date 15.07.2022  Heure 13:35:41;Date 08.08.2022  Heure 13:53:06
136;N         :    +   1.3231 g;N         :    +   1.3438 g
;Date 15.07.2022  Heure 13:35:52;Date 08.08.2022  Heure 13:53:16
137;N         :    +   1.3236 g;N         :    +   1.3487 g
;Date 15.07.2022  Heure 13:36:00;Date 08.08.2022  Heure 13:53:31
138;N         :    +   1.3155 g;N         :    +   1.3365 g
;Date 15.07.2022  Heure 13:36:09;Date 08.08.2022  Heure 13:53:44
139;N         :    +   1.3176 g;N         :    +   1.3426 g
;Date 15.07.2022  Heure 13:36:18;Date 08.08.2022  Heure 13:53:57
140;N         :    +   1.3209 g;N         :    +   1.3451 g
;Date 15.07.2022  Heure 13:36:27;
141;N         :    +   1.3145 g;
;Date 15.07.2022  Heure 13:36:37;
142;N         :    +   1.3172 g;
;Date 15.07.2022  Heure 13:36:47;Date 08.08.2022  Heure 13:54:19
143;N         :    +   1.3201 g;N         :    +   1.3488 g
;Date 15.07.2022  Heure 13:36:54;Date 08.08.2022  Heure 13:54:35
144;N         :    +   1.3266 g;N         :    +   1.3535 g
;Date 15.07.2022  Heure 13:37:04;Date 08.08.2022  Heure 13:54:47
145;N         :    +   1.3236 g;N         :    +   1.3403 g
;Date 15.07.2022  Heure 13:37:11;Date 08.08.2022  Heure 13:54:59
146;N         :    +   1.3200 g;N         :    +   1.3293 g
;Date 15.07.2022  Heure 13:37:19;Date 08.08.2022  Heure 13:55:11
147;N         :    +   1.3266 g;N         :    +   1.3365 g
;Date 15.07.2022  Heure 13:37:27;Date 08.08.2022  Heure 13:55:26
148;N         :    +   1.3210 g;N         :    +   1.3336 g
;Date 15.07.2022  Heure 13:37:34;Date 08.08.2022  Heure 13:55:37
149;N         :    +   1.3171 g;N         :    +   1.3278 g
;Date 15.07.2022  Heure 13:37:45;Date 08.08.2022  Heure 13:55:49
150;N         :    +   1.3185 g;N         :    +   1.3267 g
;Date 15.07.2022  Heure 13:38:08;Date 08.08.2022  Heure 13:56:55
151;N         :    +   1.3221 g;N         :    +   1.3302 g
;Date 15.07.2022  Heure 13:38:22;Date 08.08.2022  Heure 13:57:08
152;N         :    +   1.3135 g;N         :    +   1.3277 g
;Date 15.07.2022  Heure 13:38:31;Date 08.08.2022  Heure 13:57:21
153;N         :    +   1.3344 g;N         :    +   1.3454 g
;Date 15.07.2022  Heure 13:38:41;Date 08.08.2022  Heure 13:57:34
154;N         :    +   1.3200 g;N         :    +   1.3319 g
;Date 15.07.2022  Heure 13:38:48;Date 08.08.2022  Heure 13:57:45
