ID;Tube_vide;Tube_masse_fraiche;Tube_masse_seche
124;N         :    +   1.3060 g;N         :    +   1.5676 g;N         :    +   1.3288 g
125;Date 24.02.2022  Heure 14:53:10;Date 25.02.2022  Heure 15:43:08;Date 02.03.2022  Heure 13:26:36
125;N         :    +   1.3083 g;N         :    +   1.5611 g;N         :    +   1.3312 g
126;Date 24.02.2022  Heure 14:53:20;Date 25.02.2022  Heure 15:43:17;Date 02.03.2022  Heure 13:26:47
126;N         :    +   1.3004 g;N         :    +   1.6217 g;N         :    +   1.3283 g
127;Date 24.02.2022  Heure 14:53:33;Date 25.02.2022  Heure 15:43:27;Date 02.03.2022  Heure 13:26:58
127;N         :    +   1.3060 g;N         :    +   1.3628 g;N         :    +   1.3106 g
128;Date 24.02.2022  Heure 14:53:43;Date 25.02.2022  Heure 15:43:36;Date 02.03.2022  Heure 13:27:14
128;N         :    +   1.2980 g;N         :    +   1.5100 g;N         :    +   1.3166 g
129;Date 24.02.2022  Heure 14:53:59;Date 25.02.2022  Heure 15:44:01;Date 02.03.2022  Heure 13:27:23
129;N         :    +   1.3101 g;N         :    +   1.4850 g;N         :    +   1.3251 g
130;Date 24.02.2022  Heure 14:54:15;Date 25.02.2022  Heure 15:44:12;Date 02.03.2022  Heure 13:27:33
130;N         :    +   1.3085 g;N         :    +   1.6059 g;N         :    +   1.3358 g
131;Date 24.02.2022  Heure 14:54:25;Date 25.02.2022  Heure 15:44:20;Date 02.03.2022  Heure 13:27:41
131;N         :    +   1.3030 g;N         :    +   1.5609 g;N         :    +   1.3256 g
132;Date 24.02.2022  Heure 14:54:34;Date 25.02.2022  Heure 15:44:31;Date 02.03.2022  Heure 13:27:55
132;N         :    +   1.2995 g;N         :    +   1.4829 g;N         :    +   1.3173 g
133;Date 24.02.2022  Heure 14:55:00;Date 25.02.2022  Heure 15:44:41;Date 02.03.2022  Heure 13:28:07
133;N         :    +   1.3088 g;N         :    +   1.5719 g;N         :    +   1.3311 g
134;Date 24.02.2022  Heure 14:55:11;Date 25.02.2022  Heure 15:44:53;Date 02.03.2022  Heure 13:28:17
134;N         :    +   1.2989 g;N         :    +   1.5892 g;N         :    +   1.3251 g
135;Date 24.02.2022  Heure 14:55:28;Date 25.02.2022  Heure 15:45:03;Date 02.03.2022  Heure 13:28:28
135;N         :    +   1.3048 g;N         :    +   1.5065 g;N         :    +   1.3228 g
136;Date 24.02.2022  Heure 14:55:36;Date 25.02.2022  Heure 15:45:13;Date 02.03.2022  Heure 13:28:38
136;N         :    +   1.3046 g;N         :    +   1.5977 g;N         :    +   1.3301 g
137;Date 24.02.2022  Heure 14:55:48;Date 25.02.2022  Heure 15:45:26;Date 02.03.2022  Heure 13:28:48
137;N         :    +   1.3063 g;N         :    +   1.5167 g;N         :    +   1.3239 g
138;Date 24.02.2022  Heure 14:56:00;Date 25.02.2022  Heure 15:45:37;Date 02.03.2022  Heure 13:28:59
138;N         :    +   1.2986 g;N         :    +   1.5507 g;N         :    +   1.3206 g
139;Date 24.02.2022  Heure 14:56:12;Date 25.02.2022  Heure 15:45:45;Date 02.03.2022  Heure 13:29:11
139;N         :    +   1.3065 g;N         :    +   1.4972 g;N         :    +   1.3232 g
