CO2;Nitrate;Iron;K;Fe;Mn;Mg;Zn;Cu;Na
ACO2;0.5 mM;+Fe;54576.6200000011;67.0080000000013;211.843000000004;14681.7320000003;48.860000000001;6.63100000000013;924.152000000019
ACO2;0.5 mM;+Fe;49682.4084236458;68.0898916256164;282.418300492614;14012.0743645322;47.9724236453207;6.44790640394095;995.298832512325
ACO2;0.5 mM;+Fe;52770.5367213115;88.2794426229508;235.269;14844.6596721311;37.2830655737705;6.85665573770492;802.228721311476
ACO2;0.5 mM;+Fe;50272.606125;67.1349375;214.8318;14577.1236;39.2985;6.8772375;1005.0591375
ACO2;0.5 mM;+Fe;54567.3567065862;57.0204910179634;194.245628742513;13693.3769281435;39.4757245508977;6.26598802395202;976.240934131725
ACO2;0.5 mM;+Fe;51719.9359322019;77.4409830508453;239.41677966101;14447.7681355928;46.1098983050834;7.09383050847438;832.047203389807
ACO2;0.5 mM;+Fe;53311.1092814365;#VALUE!;253.549401197602;14976.9440119759;45.0754491017959;7.51257485029931;969.435179640707
ACO2;0.5 mM;+Fe;55435.4464233577;62.6216642335766;230.249167883212;16138.442919708;49.6391240875913;8.01862773722628;839.28303649635
ACO2;0.5 mM;+Fe;47550.6072727272;48.7209696969696;174.76;13750.9641212121;48.1913939393938;7.41406060606059;873.799999999998
ACO2;0.5 mM;+Fe;53869.6519841274;58.5765476190481;235.967936507938;15834.3625000001;46.1134523809527;7.4778571428572;1041.91476190477
ACO2;0.5 mM;+Fe;54465.5801886782;47.4258113207538;217.862320754713;16080.808169811;47.4258113207538;6.91626415094327;916.404999999983
ACO2;0.5 mM;+Fe;50448.7026356585;82.1560620155033;198.882744186045;14747.0131317828;41.4847441860462;6.50741085271313;967.570651162783
ACO2;0.5 mM;+Fe;49520.1886451603;62.9063999999988;205.291316129028;14803.6345935481;41.5993935483863;6.42592258064504;911.466387096757
ACO2;10 mM;-Fe;113843.228048787;36.5251829268313;89.0701829268343;7481.89536585408;83.3030487804925;27.5540853658552;790.097378048825
ACO2;10 mM;-Fe;90795.9937931034;51.9969103448276;93.1611310344828;7445.66868965517;79.439724137931;26.3595448275862;676.682013793103
ACO2;10 mM;-Fe;84178.7490909091;24.418101010101;97.4069898989899;7629.59490909091;83.0746262626263;27.6030707070707;841.893656565657
ACO2;10 mM;-Fe;106301.525660375;71.2039245283006;97.4109245283001;8063.84445283004;70.7094528301874;27.6904150943391;787.693415094325
ACO2;10 mM;-Fe;118771.534411762;17.705264705882;90.8357058823511;7865.75629411748;83.1377647058807;26.1729999999995;779.031647058808
ACO2;10 mM;-Fe;93365.4497709945;20.8261984732829;82.9042900763378;7748.94784732842;78.098244274811;28.0352671755732;687.66505343513
ACO2;10 mM;-Fe;92887.8333774816;24.9987814569532;104.508794701985;8135.7145430462;88.1901456953625;28.4708344370855;719.40937748343
ACO2;10 mM;-Fe;104183.285865388;53.3679423076939;79.0449711538485;7233.3700673079;78.0380288461561;26.6839711538469;831.230875000024
ACO2;10 mM;-Fe;102975.517674425;15.8875116279079;69.6606279069808;6223.01609302362;73.3269767441903;23.2202093023269;651.387976744224
ACO2;10 mM;-Fe;90340.5795266288;21.7120118343199;96.7735384615402;7869.0534319528;73.5106686390546;26.364585798817;708.431928994095
ACO2;10 mM;-Fe;71221.3780076639;37.6715440613033;97.3013678160934;7118.31021072808;75.9474444444456;26.7931302681996;643.84093486591
ACO2;10 mM;-Fe;94243.1218000019;25.5729200000005;104.365160000002;8214.43660000016;86.7405800000017;25.2273400000005;638.286260000013
ACO2;10 mM;-Fe;88955.5261538456;34.2033461538459;108.310596153845;8150.45619230764;88.1909807692302;25.484846153846;643.492365384611
ACO2;10 mM;-Fe;99188.3134020568;115.460721649479;98.7351030927785;7296.1464432986;76.6141237113363;21.581443298968;746.717938144292
ACO2;10 mM;+Fe;92341.3355789468;#VALUE!;72.6750315789469;5343.26652631576;38.539789473684;8.80909473684205;737.761684210522
ACO2;10 mM;+Fe;74042.7485046732;48.8392523364488;52.2580000000002;5214.81116822432;36.8736355140189;7.32588785046732;660.306691588788
